iter	Passed	Remaining
258	63	58
259	63	58
260	63	58
261	63	58
262	64	57
263	64	57
264	64	57
265	65	57
266	65	57
267	65	56
268	66	56
269	66	56
270	66	56
271	66	56
272	67	55
273	67	55
274	67	55
275	67	55
276	68	54
277	68	54
278	68	54
279	68	54
280	69	53
281	69	53
282	69	53
283	69	53
284	70	53
285	70	52
286	70	52
287	71	52
288	71	52
289	71	51
290	72	51
291	72	51
292	72	51
293	72	51
294	73	50
295	73	50
296	73	50
297	73	50
298	74	49
299	74	49
300	74	49
301	74	49
302	75	48
303	75	48
304	75	48
305	75	48
306	76	47
307	76	47
308	76	47
309	76	47
310	77	46
311	77	46
312	77	46
313	77	46
314	78	45
315	78	45
316	78	45
317	78	45
318	79	44
319	79	44
320	79	44
321	79	44
322	80	43
323	80	43
324	80	43
325	80	43
326	81	42
327	81	42
328	81	42
329	81	42
330	82	41
331	82	41
332	82	41
333	82	41
334	83	40
335	83	40
336	83	40
337	83	40
338	84	39
339	84	39
340	84	39
341	84	39
342	85	38
343	85	38
344	85	38
345	85	38
346	86	37
347	86	37
348	86	37
349	86	37
350	87	36
351	87	36
352	87	36
353	87	36
354	88	35
355	88	35
356	88	35
357	88	35
358	89	35
359	89	34
360	89	34
361	90	34
362	90	34
363	90	33
364	90	33
365	91	33
366	91	33
367	91	32
368	91	32
369	92	32
370	92	32
371	92	31
372	92	31
373	93	31
374	93	31
375	93	30
376	93	30
377	94	30
378	94	30
379	94	29
380	94	29
381	95	29
382	95	29
383	95	28
384	95	28
385	96	28
386	96	28
387	96	27
388	96	27
389	97	27
390	97	27
391	97	26
392	98	26
393	98	26
394	98	26
395	98	25
396	99	25
397	99	25
398	99	25
399	99	24
400	100	24
401	100	24
402	100	24
403	100	23
404	101	23
405	101	23
406	101	23
407	101	22
408	102	22
409	102	22
410	102	22
411	102	21
412	103	21
413	103	21
414	103	21
415	103	20
416	104	20
417	104	20
418	104	20
419	104	19
420	105	19
421	105	19
422	105	19
423	105	18
424	106	18
425	106	18
426	106	18
427	106	17
428	107	17
429	107	17
430	107	17
431	107	16
432	108	16
433	108	16
434	108	16
435	108	15
436	109	15
437	109	15
438	109	15
439	109	14
440	110	14
441	110	14
442	110	14
443	110	13
444	111	13
445	111	13
446	111	13
447	111	12
448	112	12
449	112	12
450	112	12
451	112	11
452	113	11
453	113	11
454	113	11
455	113	10
456	114	10
457	114	10
458	114	10
459	114	9
460	115	9
461	115	9
462	115	9
463	115	8
464	116	8
465	116	8
466	116	8
467	116	7
468	117	7
469	117	7
470	117	7
471	117	6
472	118	6
473	118	6
474	118	6
475	118	5
476	119	5
477	119	5
478	119	5
479	119	4
480	119	4
481	120	4
482	120	4
483	120	3
484	120	3
485	121	3
486	121	3
487	121	2
488	121	2
489	122	2
490	122	2
491	122	1
492	122	1
493	122	1
494	123	1
495	123	0
496	123	0
497	123	0
498	124	0
499	124	0
