iter	Passed	Remaining
0	0	158
1	0	147
2	0	138
3	1	132
4	1	129
5	1	127
6	1	125
7	2	123
8	2	123
9	2	121
10	2	121
11	2	120
12	3	120
13	3	119
14	3	118
15	3	120
16	4	119
17	4	119
18	4	119
19	4	118
20	5	118
21	5	117
22	5	116
23	5	116
24	6	116
25	6	115
26	6	115
27	6	115
28	7	114
29	7	114
30	7	114
31	7	113
32	8	113
33	8	113
34	8	112
35	8	112
36	8	112
37	9	112
38	9	111
39	9	111
40	9	111
41	10	110
42	10	110
43	10	110
44	10	109
45	11	109
46	11	109
47	11	109
48	11	108
49	12	108
50	12	108
51	12	107
52	12	108
53	13	107
54	13	107
55	13	107
56	13	106
57	13	106
58	14	106
59	14	106
60	14	105
61	14	105
62	15	105
63	15	105
64	15	104
65	15	104
66	16	103
67	16	103
68	16	103
69	16	103
70	17	102
71	17	102
72	17	102
73	17	102
74	18	102
75	18	101
76	18	101
77	18	101
78	18	100
79	19	100
80	19	100
81	19	99
82	19	99
83	20	99
84	20	99
85	20	98
86	20	98
87	20	98
88	21	97
89	21	97
90	21	97
91	21	97
92	22	96
93	22	96
94	22	96
95	22	96
96	23	95
97	23	95
98	23	95
99	23	95
100	23	94
101	24	94
102	24	94
103	24	93
104	24	93
105	25	93
106	25	93
107	25	92
108	25	92
109	26	92
110	26	92
111	26	91
112	26	91
113	27	91
114	27	91
115	27	91
116	27	90
117	27	90
118	28	90
119	28	90
120	28	89
121	28	89
122	29	89
123	29	88
124	29	88
125	29	88
126	30	88
127	30	88
128	30	87
129	30	87
130	30	87
131	31	87
132	31	86
133	31	86
134	31	86
135	32	86
136	32	85
137	32	85
138	32	85
139	33	85
140	33	84
141	33	84
142	33	84
143	33	84
144	34	83
145	34	83
146	34	83
147	34	83
148	35	82
149	35	82
150	35	82
151	35	82
152	36	82
153	36	81
154	36	81
155	36	81
156	37	81
157	37	81
158	37	80
159	37	80
160	38	80
161	38	80
162	38	79
163	38	79
164	39	79
165	39	79
166	39	78
167	39	78
168	40	78
169	40	78
170	40	77
171	40	77
172	40	77
173	41	77
174	41	77
175	41	76
176	41	76
177	42	76
178	42	76
179	42	75
180	42	75
181	43	75
182	43	75
183	43	74
184	43	74
185	44	74
186	44	74
187	44	73
188	44	73
189	44	73
190	45	73
191	45	72
192	45	72
193	45	72
194	46	72
195	46	72
196	46	71
197	46	71
198	47	71
199	47	71
200	47	70
201	47	70
202	48	70
203	48	70
204	48	69
205	48	69
206	49	69
207	49	69
208	49	69
209	49	68
210	50	68
211	50	68
212	50	68
213	50	67
214	51	67
215	51	67
216	51	67
217	51	67
218	52	67
219	52	66
220	52	66
221	53	66
222	53	66
223	53	66
224	53	65
225	54	65
226	54	65
227	54	65
228	54	64
229	55	64
230	55	64
231	55	64
232	56	64
233	56	64
234	56	63
235	56	63
236	57	63
237	57	63
238	57	63
239	58	62
240	58	62
241	58	62
242	59	62
243	59	62
244	59	61
245	59	61
246	60	61
247	60	61
248	60	60
249	60	60
250	61	60
251	61	60
252	61	60
253	61	59
254	62	59
255	62	59
256	62	59
257	62	59
