iter	RMSE
214	5.002438585
215	4.998128178
216	4.994797924
217	4.992480582
218	4.990265965
219	4.988336769
220	4.987332162
221	4.985466729
222	4.982710211
223	4.979476501
224	4.975098916
225	4.972138913
226	4.970807266
227	4.968803276
228	4.965968385
229	4.965528408
230	4.962471696
231	4.959379236
232	4.951848794
233	4.94934614
234	4.945770611
235	4.944398468
236	4.940708395
237	4.938243252
238	4.932928382
239	4.931706104
240	4.929128428
241	4.926879743
242	4.924080557
243	4.921327074
244	4.918559566
245	4.916544101
246	4.914080769
247	4.91229718
248	4.910104779
249	4.90693026
250	4.904001327
251	4.901788006
252	4.898002005
253	4.894507555
254	4.891940045
255	4.891131668
256	4.888804861
257	4.887574837
258	4.884985109
259	4.883461167
260	4.882570293
261	4.881910821
262	4.879145011
263	4.878086802
264	4.876304735
265	4.873475658
266	4.870594162
267	4.867756413
268	4.862943549
269	4.858950062
270	4.858013736
271	4.856570836
272	4.855496169
273	4.853466439
274	4.851234918
275	4.849641483
276	4.846216526
277	4.844535073
278	4.84398351
279	4.84168226
280	4.838510565
281	4.836181188
282	4.834513534
283	4.8313577
284	4.828439079
285	4.826816988
286	4.82405606
287	4.821290232
288	4.820485228
289	4.817273188
290	4.815195575
291	4.813240398
292	4.811990246
293	4.810609152
294	4.809691494
295	4.80819046
296	4.806453958
297	4.804457674
298	4.802474287
299	4.799103363
300	4.797078001
301	4.794424497
302	4.793291502
303	4.792572721
304	4.789763489
305	4.789225863
306	4.787640321
307	4.785521493
308	4.784787124
309	4.783194725
310	4.780737831
311	4.77856538
312	4.776225204
313	4.774949301
314	4.771578346
315	4.767339719
316	4.764859538
317	4.762196112
318	4.759691847
319	4.757051949
320	4.754141864
321	4.753095942
322	4.750697364
323	4.747777749
324	4.747021859
325	4.745955433
326	4.745221312
327	4.74474442
328	4.743434567
329	4.74226937
330	4.740298933
331	4.738718523
332	4.736571375
333	4.73488492
334	4.73303464
335	4.731097239
336	4.729388937
337	4.728556426
338	4.726728762
339	4.725048043
340	4.724793703
341	4.724273298
342	4.719910193
343	4.717209149
344	4.716637119
345	4.715705035
346	4.713931762
347	4.712383641
348	4.71015741
349	4.709116716
350	4.708732621
351	4.708267059
352	4.707682191
353	4.706202939
354	4.705872127
355	4.703257434
356	4.702658237
357	4.700484897
358	4.698164844
359	4.696408715
360	4.696011281
361	4.695834249
362	4.693966032
363	4.693141206
364	4.691150356
365	4.689651584
366	4.687507804
367	4.687122538
368	4.68552239
369	4.684054237
370	4.682581791
371	4.681404358
372	4.678759523
373	4.674921811
374	4.673605819
375	4.672670582
376	4.67083805
377	4.67019813
378	4.668426473
379	4.66615543
380	4.664537914
381	4.66298337
382	4.66227856
383	4.661867226
384	4.661004035
385	4.658725812
386	4.658578718
387	4.65643626
388	4.654433847
389	4.652214505
390	4.650678138
391	4.649893719
392	4.649525985
393	4.648744131
394	4.646400831
395	4.644463594
396	4.642431737
397	4.641920702
398	4.639971539
399	4.638314784
400	4.636612404
401	4.634626646
402	4.634522069
403	4.633793538
404	4.633300405
405	4.631141111
406	4.629569922
407	4.627570205
408	4.627008963
409	4.626459719
410	4.626143824
411	4.623441113
412	4.622067782
413	4.621995403
414	4.621752796
415	4.621285754
416	4.620532266
417	4.619392635
418	4.615735689
419	4.61271977
420	4.610844106
421	4.609294672
422	4.607541499
423	4.606284422
424	4.605601406
425	4.602981198
426	4.600556154
427	4.599946002
428	4.598990791
429	4.597237242
430	4.597094548
431	4.594407583
432	4.592478406
433	4.591063727
434	4.58957536
435	4.588629475
436	4.587051645
437	4.584628352
438	4.584360339
439	4.583111746
440	4.582549428
441	4.580216443
442	4.578424331
443	4.576654615
444	4.576553303
445	4.574629241
446	4.574228848
447	4.573058328
448	4.571118354
449	4.570076568
450	4.56906632
451	4.567100194
452	4.56619101
453	4.563413049
454	4.563261338
455	4.561629387
456	4.5595495
457	4.558629827
458	4.557090429
459	4.552042229
460	4.550440083
461	4.548734577
462	4.547148942
463	4.545230257
464	4.542595276
465	4.541636502
466	4.54147772
467	4.540383472
468	4.538392646
469	4.53720287
470	4.536186276
471	4.534201184
472	4.532290655
473	4.531396596
474	4.530588522
475	4.526988007
476	4.526639276
477	4.525736474
478	4.52463454
479	4.523232941
480	4.52164176
481	4.521309809
482	4.519598077
483	4.519186447
484	4.517499505
485	4.515666999
486	4.515215183
487	4.513860509
488	4.513710329
489	4.512613357
490	4.511279807
491	4.510839565
492	4.507428526
493	4.507016949
494	4.504766737
495	4.503457718
496	4.502996132
497	4.499593625
498	4.497904515
499	4.497553302
